,Name,Team,FGM,FGA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,1-19AV,20-29AV,30-39AV,40-49AV,50+AV,Total Added Value,Normalized
40,Cade York,LSU,18,21,0,0,4,4,5,6,3,4,6,7,0.0,1.4960000000000004,1.0620000000000012,1.2839999999999998,8.081,11.923000000000002,0.5677619047619048
13,Jake Oldroyd,BYU,13,13,0,0,5,5,1,1,4,4,3,3,0.0,1.870000000000001,0.677,4.284,4.749,11.580000000000002,0.8907692307692309
44,Jose Borregales,MIA,18,20,0,0,4,4,6,6,6,8,2,2,0.0,1.4960000000000004,4.062000000000001,2.5679999999999996,3.166,11.292000000000002,0.5646000000000001
106,Brayden Narveson,WKU,13,14,0,0,1,1,5,5,6,6,1,2,0.0,0.3740000000000001,3.385,6.426,0.16599999999999993,10.351,0.7393571428571429
7,Anders Carlson,AUB,18,20,0,0,7,7,5,6,5,5,1,2,0.0,2.618000000000002,1.0620000000000012,5.355,0.16599999999999993,9.201000000000004,0.4600500000000002
2,Will Reichard,ALA,12,12,0,0,4,4,5,5,2,2,1,1,0.0,1.4960000000000004,3.385,2.142,1.583,8.606,0.7171666666666666
99,Hunter Duplessis,UTSA,16,18,0,0,6,6,5,5,4,5,1,2,0.0,2.2439999999999998,3.385,2.3550000000000004,0.16599999999999993,8.15,0.4527777777777778
88,James Turner,UL,13,15,0,0,3,3,4,4,5,5,1,3,0.0,1.1219999999999999,2.708,5.355,-1.2510000000000003,7.934,0.5289333333333334
102,Brian Johnson,VT,20,26,1,1,4,4,4,5,8,9,3,7,0.0,1.4960000000000004,0.3849999999999998,6.638999999999999,-0.9190000000000005,7.600999999999999,0.2923461538461538
28,Evan McPherson,FLOR,15,19,0,0,3,3,6,6,2,4,4,6,0.0,1.1219999999999999,4.062000000000001,-1.7160000000000002,3.4979999999999993,6.966,0.3666315789473684
64,Alex Kessman,PITT,23,29,1,1,8,8,5,6,5,9,4,5,0.0,2.992000000000001,1.0620000000000012,-2.3610000000000007,4.915,6.608000000000001,0.22786206896551728
46,Harrison Mevis,MIZZ,17,20,1,1,7,7,4,5,2,3,3,4,0.0,2.618000000000002,0.3849999999999998,0.21300000000000008,3.332,6.548000000000002,0.3274000000000001
